,1606,"1,216.00",494.51,,
556.3,1050,"1,216.00",,,
,800,660.00,,,
,350,,,,"13,620.00"
140,,,608.00,,"13,620.00"
93.91,,,,"4,819.50",
,,,,49.60,
,,657.00,,110.24,
,176,,516.00,,
,480,245.00,563.85,,
,543,650.00,,,
226.8,,570.00,74.26,637.95,
,2132,630.00,,453.80,
1064,,,377.21,691.20,792.00
,,520.00,,,
,,,,748.10,163.65
,,,,,
,810,732.78,,535.70,
,230,,,,409.25
,167,630.00,240.00,"1,116.00",
,357.55,732.40,,,
,332,625.00,,,
,,,103.01,,
121.47,,,530.00,,954.73
540.4,,,,,"4,040.00"
,165,"1,042.00",,,105.76
251.26,326,,71.50,,710.00
,300,,"1,134.00",,"1,384.00"
,790,,,,
249.26,539,,,,"1,430.00"
,,,417.64,,
,504,,740.00,,"1,465.78"
467,2323.71,600.00,,,692.05
150,2323.71,,53.29,,
,,470.00,,,
,,"1,192.54",,44.07,
,,"1,300.00",,,
239.6,2580,,,,
,,529.00,,,
,,,,,835.00
,,240.00,,,740.00
77,800,600.00,,,
87,720,61.36,"1,625.00",,
,770,,,,
,1200,,,502.70,
,,600.00,504.00,,
,1436.72,180.00,400.60,,
,840,,,"1,480.83",
,870,,,,
,760,"1,100.00",,"1,347.84",
,680,,,"1,347.84",
,900,842.00,,697.51,
294.53,144,"1,100.00",265.00,,
294.52,440,544.48,,,
,320,,430.00,,
,970,,,,
255.2,546.04,"1,320.00",495.86,,
,,,511.54,,
,,,,,89.94
300,,,,,
132,472,,,,
127.63,480,"1,000.00",,750.00,
251.2,480,,,,
,,,260.00,,
462.3,400,,,,
462.3,890,,,,
289,528.2,,,,
,,307.00,,,
,,654.60,,,
,,,,,486.85
64,,,69.31,,
,,585.00,997.00,,
,,,,,494.51
55,1120,"2,880.00",,,
,,,,,
205,114.4,,,"13,620.00",
,,,,"13,620.00",608.00
92,,,,,60.20
,,"1,050.00",590.00,,
,,524.28,,,
,,807.60,,,
238.07,,,,,516.00
183.73,,,,,563.85
,485,260.00,,,
214.17,580.9,558.60,,,74.26
,,,"1,470.00",792.00,
78,,,250.00,,377.21
,,,,163.65,
,5569,,,,
,,,,,
,,,118.48,409.25,
,,,"1,200.00",,240.00
217.2,107.14,,510.00,,
,,,,,
120,,,512.00,,103.01
,,,"1,216.00",954.73,
,,,"1,216.00",105.76,530.00
223.06,,,660.00,438.03,
223.06,2437.5,,,438.03,
,,,,710.00,71.50
,81.03,,,"1,384.00","1,134.00"
222.5,485.7,,,,
54.6,485.7,,,,
201.83,577.69,,,,
201.83,,,657.00,,
201.83,,,,"1,430.00",740.00
201.83,,,245.00,,
,,,650.00,,53.29
,,,88.94,"1,465.78",
,,,570.00,692.05,
,,,,,
,,,630.00,,
,,,,,
243.69,,,520.00,,
169,,,,,
831,,,,,
285.38,,,732.78,835.00,"1,625.00"
,,,,51.69,133.23
504,647.96,,630.00,740.00,
,,,732.40,,68.71
,,,625.00,,
82,,,,,
82.19,,,,,394.70
82.19,1620,,,,
82.19,,,,,504.00
82.19,,,,,
82.19,,,"1,042.00",87.32,
,,,,,
,,,,,
,,,,,
,,,,,90.74
,,,,,265.00
205.72,,,,,
252,,,600.00,,430.00
,,,,,
,,,470.00,,495.86
,,,"1,192.54",,511.54
,,,"1,300.00",,
,,,,89.94,
,,,529.00,,
975,,,,,
,,,,,
,,,240.00,,
,,,600.00,,
46.46,,,,,
254.9,,,,,260.00
254.9,,,62.59,,
254.9,,,600.00,,
254.9,,,180.00,,
,,,,486.85,
390.07,,,,,
227,,,"1,100.00",,
,,,,,997.00
,1050,,842.00,494.51,
,,,"1,100.00",,
,,,544.48,,
,3564,,,,
177.84,960,,,608.00,
,2625,,"1,320.00",60.20,
,2625,,,,
66.25,697.5,,,,590.00
66.25,528.4,,,,
66.25,706,,,516.00,
66.25,354,,"1,000.00",563.85,
,,,,,
,,,,74.26,
,,,,,"1,470.00"
,,,,377.21,250.00
,,,,,
,344,,307.00,,
,493.12,,654.60,,
,493.12,,,,"1,200.00"
,,,,240.00,510.00
71,,,585.00,,
,,,,,512.00
154,,,"2,880.00",103.01,"1,216.00"
39.7,97,,,,"1,216.00"
,,,,530.00,660.00
510,,"3,306.24",,,
920.28,,,,,
916.29,,956.25,"1,050.00",71.50,
916.29,500,956.25,524.28,"1,134.00",
,432.5,601.00,807.60,,
962.1,4590,,,,
808.96,,314.60,,,657.00
668.9,,,260.00,,
668.9,960,,558.60,740.00,245.00
668.9,,,,,650.00
668.02,,,,53.29,88.94
668.9,,,,90.74,570.00
1798.89,,530.00,,450.00,37.98
956.07,,"3,575.63",,,
,,,,,630.00
204.9,3750,,,,99.11
184.1,,"1,150.00",,,
184.1,,960.00,,,520.00
184.37,750,,,,
,,,,,
588.3,,,,,732.78
,,,,,
,582,,,"1,625.00",630.00
,685,,,133.23,732.40
,,,,,625.00
,735,,,,369.00
86.77,900,603.40,,68.71,
,,,,,
,127,,,,
887.1,,,,394.70,
