Other renewables (Mt CO2e/TWh),Solar (Mt CO2e/TWh),Wind (Mt CO2e/TWh),Hydropower (Mt CO2e/TWh),Nuclear (Mt CO2e/TWh),Gas (Mt CO2e/TWh),Oil (Mt CO2e/TWh),Coal (Mt CO2e/TWh),Biofuels (Mt CO2e/TWh),Traditional biomass (Mt CO2e/TWh)
0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.099510869,0.215952519,0.252004998,0.000935658,0.041527099
0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.101180554,0.218723963,0.243641518,0.000965951,0.040862663
0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.101590998,0.221241353,0.236102749,0.001000256,0.040472628
0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.103026438,0.220268990,0.233459085,0.000997849,0.039596573
0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.105443680,0.217025391,0.231165915,0.001054227,0.038617979
0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.106416210,0.215142539,0.227410111,0.001123109,0.038213299
0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.108954448,0.202169906,0.228049967,0.001109723,0.039499054
0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.108083745,0.203977259,0.229507273,0.001119256,0.037698478
0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.105891173,0.207201393,0.227066409,0.001161247,0.037073906
0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.103958518,0.208452685,0.226295205,0.001258441,0.036383766
